,country,year,gender,gold,silver,bronze,total
0,United States,1896,male,11,7,2,20
1,Greece,1896,male,10,16,18,44
2,France,1896,male,5,4,2,11
3,Germany,1896,male,4,5,2,11
4,Great Britain,1896,male,2,3,2,7
5,Hungary,1896,male,2,1,3,6
6,Austria,1896,male,2,1,2,5
7,Australia,1896,male,2,0,0,2
8,Denmark,1896,male,1,2,3,6
9,Switzerland,1896,male,1,2,0,3
10,France,1900,male,21,22,22,65
11,United States,1900,male,18,13,12,43
12,Great Britain,1900,male,8,6,7,21
13,Belgium,1900,male,6,4,5,15
14,Italy,1900,male,3,2,0,5
15,Switzerland,1900,male,3,1,1,5
16,Denmark,1900,male,1,3,2,6
17,Hungary,1900,male,1,2,2,5
18,Cuba,1900,male,1,1,0,2
19,Germany,1900,male,1,1,0,2
20,Austria,1900,male,0,3,3,6
21,India,1900,male,0,2,0,2
22,Norway,1900,male,0,1,3,4
23,Bohemia,1900,male,0,1,0,1
24,Australia,1900,male,0,0,3,3
25,Netherlands,1900,male,0,0,1,1
26,Sweden,1900,male,0,0,1,1
27,United States,1904,male,647,566,481,1694
28,Soviet Union,1904,male,259,213,199,671
29,France,1904,male,151,159,171,481
30,Italy,1904,male,149,115,143,407
31,Great Britain,1904,male,141,149,161,451
32,Sweden,1904,male,133,130,153,416
33,Norway,1904,male,131,110,115,356
34,Germany,1904,male,127,148,164,439
35,Finland,1904,male,119,111,125,355
36,Japan,1904,male,117,110,127,354
37,Hungary,1904,male,100,97,101,298
38,Russian Federation,1904,male,97,57,99,253
39,People's Republic of China,1904,male,94,75,70,239
40,Cuba,1904,male,67,42,53,162
41,Switzerland,1904,male,65,69,63,197
42,East Germany,1904,male,62,49,74,185
43,Australia,1904,male,61,70,75,206
44,Republic of Korea,1904,male,58,69,68,195
45,Poland,1904,male,58,44,89,191
46,Netherlands,1904,male,55,60,60,175
47,Austria,1904,male,53,65,75,193
48,Canada,1904,male,50,72,86,208
49,Bulgaria,1904,male,40,59,52,151
50,Türkiye,1904,male,39,23,30,92
51,Czechoslovakia,1904,male,32,32,36,100
52,Unified Team,1904,male,30,22,15,67
53,Belgium,1904,male,29,34,38,101
54,Greece,1904,male,28,32,31,91
55,Kenya,1904,male,27,27,28,82
56,West Germany,1904,male,26,40,42,108
57,Islamic Republic of Iran,1904,male,24,23,28,75
58,Romania,1904,male,23,34,56,113
59,New Zealand,1904,male,23,8,31,62
60,Ukraine,1904,male,19,19,28,66
61,Spain,1904,male,18,27,22,67
62,South Africa,1904,male,17,20,20,57
63,Denmark,1904,male,16,42,36,94
64,Brazil,1904,male,16,18,35,69
65,Yugoslavia,1904,male,14,14,19,47
66,Czechia,1904,male,13,15,15,43
67,Ethiopia,1904,male,13,7,12,32
68,Kazakhstan,1904,male,12,20,26,58
69,Argentina,1904,male,11,16,13,40
70,Jamaica,1904,male,11,12,7,30
71,ROC,1904,male,11,11,25,47
72,Georgia,1904,male,10,12,17,39
73,Estonia,1904,male,10,9,14,33
74,Democratic People's Republic of Korea,1904,male,10,8,16,34
75,Uzbekistan,1904,male,10,6,19,35
76,Mexico,1904,male,9,16,18,43
77,Belarus,1904,male,7,19,24,50
78,Egypt,1904,male,7,9,13,29
79,Azerbaijan,1904,male,6,11,19,36
80,Morocco,1904,male,6,4,10,20
81,Ireland,1904,male,5,7,13,25
82,Slovenia,1904,male,4,10,8,22
83,Thailand,1904,male,4,5,7,16
84,Tunisia,1904,male,4,3,5,12
85,Latvia,1904,male,3,12,6,21
86,Croatia,1904,male,3,10,6,19
87,Slovakia,1904,male,3,9,5,17
88,Algeria,1904,male,3,4,7,14
89,Portugal,1904,male,3,4,5,12
90,Uganda,1904,male,3,4,3,10
91,Luxembourg,1904,male,3,4,0,7
92,Lithuania,1904,male,3,3,5,11
93,Dominican Republic,1904,male,3,3,2,8
94,Mongolia,1904,male,2,9,13,24
95,Armenia,1904,male,2,8,8,18
96,India,1904,male,2,6,7,15
97,Venezuela,1904,male,2,6,6,14
98,Indonesia,1904,male,2,5,7,14
99,Trinidad and Tobago,1904,male,2,4,9,15
100,Qatar,1904,male,2,2,3,7
101,Ecuador,1904,male,2,1,0,3
102,Israel,1904,male,2,0,6,8
103,Colombia,1904,male,1,8,8,17
104,Chile,1904,male,1,5,3,9
105,Chinese Taipei,1904,male,1,4,5,10
106,Serbia,1904,male,1,2,4,7
107,Vietnam,1904,male,1,2,1,4
108,Peru,1904,male,1,2,0,3
109,Grenada,1904,male,1,1,1,3
110,Jordan,1904,male,1,1,1,3
111,Tajikistan,1904,male,1,1,1,3
112,Côte d'Ivoire,1904,male,1,1,0,2
113,Singapore,1904,male,1,1,0,2
114,Independent Olympic Athletes,1904,male,1,0,2,3
115,Panama,1904,male,1,0,2,3
116,The Bahamas,1904,male,1,0,2,3
117,Suriname,1904,male,1,0,1,2
118,United Arab Emirates,1904,male,1,0,1,2
119,Burundi,1904,male,1,0,0,1
120,"Hong Kong, China",1904,male,1,0,0,1
121,Malaysia,1904,male,0,4,2,6
122,Namibia,1904,male,0,4,0,4
123,Philippines,1904,male,0,3,8,11
124,Australasia,1904,male,0,3,5,8
125,Nigeria,1904,male,0,3,4,7
126,Puerto Rico,1904,male,0,2,6,8
127,Kyrgyzstan,1904,male,0,2,3,5
128,Lebanon,1904,male,0,2,2,4
129,Uruguay,1904,male,0,2,2,4
130,Kingdom of Saudi Arabia,1904,male,0,2,1,3
131,United Republic of Tanzania,1904,male,0,2,0,2
132,Republic of Moldova,1904,male,0,1,4,5
133,Ghana,1904,male,0,1,3,4
134,Liechtenstein,1904,male,0,1,3,4
135,Syrian Arab Republic,1904,male,0,1,2,3
136,Bohemia,1904,male,0,1,1,2
137,Cameroon,1904,male,0,1,1,2
138,Iceland,1904,male,0,1,1,2
